accuracy_MLP,F1_MLP,specificity_MLP,ROC_AUC_MLP
0.6477644443511963,0.7404332929709637,0.511141569405241,0.633807897567749
0.6473290324211121,0.742324541968153,0.5144377922029915,0.6357938051223755
0.6403490304946899,0.7408484971201054,0.5224681309066946,0.634047269821167
0.6620275378227234,0.7416896506109045,0.49052335945604714,0.6352497935295105
0.6495674848556519,0.739299096606869,0.5051335738246553,0.632413387298584
0.6587470173835754,0.7411732804196861,0.4951565705824769,0.634623646736145
0.6459939479827881,0.7404424950728868,0.5114695099386907,0.6337081789970398
0.6547747254371643,0.7392089463632454,0.5010931351110784,0.6324500441551208
0.6428497433662415,0.7411281064739743,0.5181039991923261,0.6345402598381042
0.6671291589736938,0.7406632490799511,0.48273252440614284,0.6342339515686035
0.6483334898948669,0.7427305725659376,0.5158000067265516,0.6365194916725159
0.6463094353675842,0.7413808396061872,0.5152870740973098,0.6345763206481934
0.654690682888031,0.7399409438762532,0.49892368235133455,0.6330245137214661
0.6462956666946411,0.7419878964002776,0.5130335340212968,0.6352748870849609
0.6594753861427307,0.7395822538614966,0.49011545285563757,0.6327534914016724
